join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,time_period,time_value,total_crashes,fatal_crashes,serious_injuries,vehicle_count,traffic_observation_days,average_vehicle_count
313,000313,33.75941,-84.47873,1U,hour,8,1,0,0,2362590,298,7928.15
313,000313,33.75941,-84.47873,1U,hour,9,2,0,0,2290092,298,7684.87
313,000313,33.75941,-84.47873,1U,hour,10,0,0,0,2301574,298,7723.4
313,000313,33.75941,-84.47873,1U,hour,11,1,0,0,2398265,298,8047.87
313,000313,33.75941,-84.47873,1U,hour,12,1,0,0,2556988,298,8580.5
313,000313,33.75941,-84.47873,1U,hour,13,1,0,0,2690905,298,9029.88
313,000313,33.75941,-84.47873,1U,hour,14,0,0,0,2895066,298,9714.99
313,000313,33.75941,-84.47873,1U,hour,15,2,0,0,3100851,298,10405.54
313,000313,33.75941,-84.47873,1U,hour,16,4,0,0,3151503,298,10575.51
313,000313,33.75941,-84.47873,1U,hour,17,8,0,0,3074300,298,10316.44
313,000313,33.75941,-84.47873,1U,hour,18,4,0,0,2824636,298,9478.64
313,000313,33.75941,-84.47873,1U,hour,19,2,0,0,2412679,298,8096.24
313,000313,33.75941,-84.47873,1U,hour,20,3,0,0,2060504,298,6914.44
313,000313,33.75941,-84.47873,1U,hour,21,0,0,0,1759780,298,5905.3
313,000313,33.75941,-84.47873,1U,hour,22,0,0,0,1547329,298,5192.38
313,000313,33.75941,-84.47873,1U,hour,23,0,0,0,1229301,298,4125.17
315,000315,33.74291,-84.40256,1U,hour,0,5,0,0,1298347,353,3678.04
315,000315,33.74291,-84.40256,1U,hour,1,2,0,0,904940,353,2563.57
315,000315,33.74291,-84.40256,1U,hour,2,2,0,0,739209,353,2094.08
315,000315,33.74291,-84.40256,1U,hour,3,2,0,0,714939,353,2025.32
315,000315,33.74291,-84.40256,1U,hour,4,2,0,0,836415,353,2369.45
315,000315,33.74291,-84.40256,1U,hour,5,4,0,0,1537450,353,4355.38
315,000315,33.74291,-84.40256,1U,hour,6,4,0,0,2415868,353,6843.82
315,000315,33.74291,-84.40256,1U,hour,7,4,0,0,2996991,353,8490.06
315,000315,33.74291,-84.40256,1U,hour,8,3,0,0,3223219,353,9130.93
315,000315,33.74291,-84.40256,1U,hour,9,8,0,0,3219476,353,9120.33
315,000315,33.74291,-84.40256,1U,hour,10,6,0,0,3265684,353,9251.23
315,000315,33.74291,-84.40256,1U,hour,11,7,0,0,3422990,353,9696.86
