Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-01-06,17:51:00,17,2022,1,6,Thursday,33.759691,-84.481311,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 Wb,I-285 and I-20 Wb,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Other Non-Collision"",""Motor Vehicle in Motion""]",Motor Vehicle in Motion,,313,241.2031431577712
2022-01-06,09:27:00,9,2022,1,6,Thursday,33.798256,-84.396025,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 Sb,I-75 Sb and Northside Drive,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap Belt Only Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R365,192.6001055501288
2022-01-06,08:50:00,8,2022,1,6,Thursday,33.794146,-84.393436,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Interstate 75 Southbound,Deering Road and Interstate 75 Southbound,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R378,165.93664919119254
2022-01-06,18:29:00,18,2022,1,6,Thursday,33.759343,-84.478917,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,I-285 and I-20 West,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,313,18.856289436745094
2022-01-06,18:26:00,18,2022,1,6,Thursday,33.764025,-84.492163,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Exit 51B I-285 Nb Ramp,I-20 Eb and Exit 51B I-285 Nb Ramp,Rear End,Entrance/Exit Ramp,Dark-Lighted,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R376,71.82804413528211
2022-01-06,17:59:00,17,2022,1,6,Thursday,33.759688,-84.481288,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 Wb,I-285 and I-20 Wb,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,313,239.04661558131696
2022-01-07,09:54:00,9,2022,1,7,Friday,33.806265,-84.381048,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 North,I-85 North and Peachtree St Overpass,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,151.84502793814832
2022-01-07,18:30:00,18,2022,1,7,Friday,33.805581,-84.38117,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13,None and Ga-13,Sideswipe-Same Direction,Off Roadway,Daylight,Clear,Dry,Atlanta Police Department,Lap and Shoulder Belt Used,"[""Impact Attenuate"",""Impact Attenuate""]",Impact Attenuate,Aggressive Driving,322,213.4871352442661
2022-01-07,15:56:00,15,2022,1,7,Friday,33.796135,-84.394725,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 South,I-75 South and Deering Rd Overpass,Angle Crash,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)"",""Child Restraint System (Properly Used)"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,R356,51.51219714389503
2022-01-07,21:00:00,21,2022,1,7,Friday,33.743497,-84.378676,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-20,I-20 and Connally St Se,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Driver Lost Control"",""Misjudged Clearance"",""Following Too Close"",""Exceeding Speed Limit""]",77,39.631839545815794
