Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,Crash_to_TMAS_m
2022-07-31,17:45:00,17,2022,7,31,Sunday,33.786226,-84.406976,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hemphill Ave Nw,14Th St Nw and Hemphill Ave Nw,Rear End,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,86,235.8903333372001
2022-07-31,00:42:00,0,2022,7,31,Sunday,33.796865,-84.393356,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Clear,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R356,101.14052196209492
2022-07-31,06:00:00,6,2022,7,31,Sunday,33.74395,-84.40322,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Whitehall St Sw,None and Whitehall St Sw,Not a Collision with Motor Vehicle,Off Roadway - Sidewalk,Dawn,Clear,Dry,Atlanta Police Department,Shoulder Belt Only Used,Other Non-Collision,Utility Pole,Driver Condition,315,130.60431142373494
2022-07-31,07:30:00,7,2022,7,31,Sunday,33.757607,-84.378832,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 Sb Expy Nw,I-75 Sb Expy Nw and John Freedom Parkway Dr,Angle Crash,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,130.0521532470614
2022-08-01,07:52:00,7,2022,8,1,Monday,33.743307,-84.379296,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,I-20 West and Boulevard Southeast,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,77,59.14866609472824
2022-08-01,18:45:00,18,2022,8,1,Monday,33.758597,-84.37854,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 7585 North,Interstate 7585 North and Freedom Parkway Overpass,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,17.935734650625907
2022-08-01,07:20:00,7,2022,8,1,Monday,33.807899,-84.377245,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 S,Ga-13 S and Armour Dr,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,247.91486105440137
2022-08-02,15:10:00,15,2022,8,2,Tuesday,33.80617,-84.38116,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 N,I-85 N and Peachtree St,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,166.49030385710023
2022-08-02,16:00:00,16,2022,8,2,Tuesday,33.796744,-84.393376,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 N,I-85 N and 17Th Street,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,R356,94.33215088829265
2022-08-02,01:15:00,1,2022,8,2,Tuesday,33.796463,-84.393679,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 85 Nb Expy Nw,I-85 Nb Expy Nw and I-75 85 Nb Expy Nw,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,61.23597063713315
2022-08-02,14:18:00,14,2022,8,2,Tuesday,33.807089,-84.380028,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 N,I-85 N and Peachtree Road,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,26.675717401070827
2022-08-02,22:00:00,22,2022,8,2,Tuesday,33.743163,-84.403832,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Mcdaniel St Sw,Mcdaniel St Sw and Whitehall St Sw,Angle Crash,On Roadway - Roadway Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""None Used"",""None Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,315,121.19864532047347
2022-08-02,16:00:00,16,2022,8,2,Tuesday,33.742572,-84.404118,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""None Used"",""None Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,315,149.20310485624933
2022-08-02,19:23:00,19,2022,8,2,Tuesday,33.759385,-84.378344,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Fort St Ne,Fort St Ne and Ellis St Ne,Angle Crash,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Disregard Stop Sign/Signal,9,73.11078710435534
2022-08-03,09:30:00,9,2022,8,3,Wednesday,33.75966,-84.481099,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Driver Lost Control,313,221.2792333944278
2022-08-03,13:00:00,13,2022,8,3,Wednesday,33.798627,-84.395833,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap Belt Only Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,196.8626020968489
2022-08-04,18:50:00,18,2022,8,4,Thursday,33.743496,-84.378645,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,I-20 West and Hill Street,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Under the Influence (U.I.),77,39.71925932574861
2022-08-04,19:32:00,19,2022,8,4,Thursday,33.798924,-84.392176,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-85 Nb,I-85 Nb and Peachtree St,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,230.9639736242832
2022-08-04,19:40:00,19,2022,8,4,Thursday,33.798744,-84.392355,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 Nb,I-85 Nb and Peachtree St,Not a Collision with Motor Vehicle,On Shoulder,Daylight,Rain,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,"[""Driver Lost Control"",""Too Fast for Conditions""]",R365,205.52390688244964
2022-08-05,15:00:00,15,2022,8,5,Friday,33.743842,-84.404155,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Mcdaniel St Sw,Mcdaniel St Sw and Whitehall St Sw,Rear End,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""None Used"",""None Used"",""None Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,315,180.4170868069941
2022-08-05,23:05:00,23,2022,8,5,Friday,33.806835,-84.380354,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Buford Hwy Ne,Atlanta Hwy and Buford Hwy Ne,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Not Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Other - Fixed Object"",""Other - Fixed Object""]",Changed Lanes Improperly,322,63.5201038166022
2022-08-05,19:40:00,19,2022,8,5,Friday,33.798017,-84.393229,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 S,I-85 S and 17Th St,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,93.0077726719997
2022-08-05,07:55:00,7,2022,8,5,Friday,33.764504,-84.492749,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-285 Sb,I-20 and I-285 Sb,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R376,147.80220505143927
2022-08-05,19:02:00,19,2022,8,5,Friday,33.793056,-84.39281,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 South,I-75 North and I-85 South,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R378,232.56994621075376
2022-08-05,17:10:00,17,2022,8,5,Friday,33.798708,-84.396284,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75Sb,I-75Sb and Northside Dr,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R365,236.73233184399012
2022-08-05,04:00:00,4,2022,8,5,Friday,33.686095,-84.401404,(A) Suspected Serious Injury,0.0,1.0,1.0,Atlanta,FULTON,I-85,None and I-85,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Dark-Not Lighted,Cloudy,Wet,Atlanta Police Department,"[""None Used"",""None Used""]",Bridge Overhead Structure,Bridge Overhead Structure,,R357,50.49069464873965
2022-08-05,13:52:00,13,2022,8,5,Friday,33.874867,-84.446908,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75Nb,I-75Nb and Mount Paran Rd,Not a Collision with Motor Vehicle,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,Lap and Shoulder Belt Used,Other Non-Collision,Other Non-Collision,,308,94.91812431512182
2022-08-06,14:00:00,14,2022,8,6,Saturday,33.743663,-84.379338,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hill St Se,Exit 58A and Hill St Se,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,77,83.51698745737887
2022-08-06,13:15:00,13,2022,8,6,Saturday,33.757704,-84.378081,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Northbound,Irwin Street Ne and I-7585 Northbound,Rear End,Entrance/Exit Ramp,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Median Barrier"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,118.34471598009802
2022-08-06,11:20:00,11,2022,8,6,Saturday,33.795857,-84.394498,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,14Th St Nw,I-75 S and 14Th St Nw,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Booster Seat (Properly Used)""]","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]",Following Too Close,R356,69.57172594442852
2022-08-07,00:27:00,0,2022,8,7,Sunday,33.808506,-84.378004,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 North,Ga 13 and I-85 North,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Too Fast for Conditions"",""Following Too Close""]",322,224.8078645872056
2022-08-07,01:45:00,1,2022,8,7,Sunday,33.794395,-84.391603,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Not a Collision with Motor Vehicle,On Shoulder,Dark-Lighted,Rain,Wet,Atlanta Police Department,"[""Unknown"",""Child Restraint System (Properly Used)""]",Curb,Curb,Driver Lost Control,R378,80.46185685831746
2022-08-07,23:47:00,23,2022,8,7,Sunday,33.742493,-84.403793,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Sideswipe-Same Direction,Entrance/Exit Ramp,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,315,123.29852824817206
2022-08-08,17:40:00,17,2022,8,8,Monday,33.759093,-84.477203,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Interstate 20 West,Interstate 20 West and Hamilton H.E Holmes Underpass,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,313,145.81209986303256
2022-08-08,21:53:00,21,2022,8,8,Monday,33.741556,-84.402936,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,Mcdaniel St Sw,Fulton St Sw and Mcdaniel St Sw,Angle Crash,On Roadway - Roadway Intersection,Dark-Not Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Improper Turn,315,154.21947972566863
2022-08-08,06:20:00,6,2022,8,8,Monday,33.793542,-84.392266,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-85N,I-85N and 17Th St,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Other Non-Collision"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,R378,168.02579527430404
2022-08-08,14:17:00,14,2022,8,8,Monday,33.743492,-84.404195,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,Whitehall St Sw,Mcdaniel St Sw and Whitehall St Sw,Angle Crash,On Roadway - Roadway Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Failure to Yield,315,164.7335269560604
2022-08-08,17:18:00,17,2022,8,8,Monday,33.872739,-84.444788,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 Nb,I-75 Nb and Cumberland Blvd,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,308,213.6661369045252
2022-08-08,17:30:00,17,2022,8,8,Monday,33.764602,-84.492493,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,I-285 and I-20 West,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R376,140.37203523174873
2022-08-08,01:30:00,1,2022,8,8,Monday,33.792948,-84.391789,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-85,None and I-85,Not a Collision with Motor Vehicle,Off Roadway,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]",Other - Fixed Object,Other - Fixed Object,,R378,232.93738236761703
2022-08-09,14:00:00,14,2022,8,9,Tuesday,33.760142,-84.37924,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Sb,I-7585 Sb and Exit Ramp To I-20,Sideswipe-Same Direction,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,173.72294948066587
2022-08-09,17:45:00,17,2022,8,9,Tuesday,33.795943,-84.392923,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75 Nb,17Th St and I-75 Nb,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Reaction to Object or Animal""]",R378,131.71544049930822
2022-08-09,18:35:00,18,2022,8,9,Tuesday,33.742921,-84.37933,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hill St Se,Hill St Se and Glenwood Dr Se,Sideswipe-Same Direction,On Roadway - Roadway Intersection,Dusk,Rain,Wet,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,77,64.10668335412792
2022-08-09,10:34:00,10,2022,8,9,Tuesday,33.743492,-84.378377,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,Hill St and I-20 West,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,77,48.6527361214284
2022-08-09,17:45:00,17,2022,8,9,Tuesday,33.796129,-84.393336,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75 North,17Th St and I-75 North,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,R356,100.40607849170318
2022-08-10,17:20:00,17,2022,8,10,Wednesday,33.806139,-84.381195,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,171.16177763748405
2022-08-10,09:45:00,9,2022,8,10,Wednesday,33.742719,-84.403309,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,315,72.58816223057867
2022-08-10,05:55:00,5,2022,8,10,Wednesday,33.764204,-84.492217,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20,I-20 and Fulton Industrial Blvd Sw,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R376,89.78759043789464
2022-08-10,16:50:00,16,2022,8,10,Wednesday,33.797102,-84.394726,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Angle Crash,On Roadway - Non-Intersection,Daylight,Rain,Wet,Atlanta Police Department,"[""Shoulder Belt Only Used"",""Shoulder Belt Only Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Too Fast for Conditions,R356,78.71308487632054
2022-08-10,14:36:00,14,2022,8,10,Wednesday,33.759954,-84.379903,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Conn N Exit Ramp To An,None and I-7585 Conn N Exit Ramp To An,Sideswipe-Same Direction,Entrance/Exit Ramp,Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,9,192.55848037957887
2022-08-11,15:00:00,15,2022,8,11,Thursday,33.760142,-84.37924,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Nb,Fulton St and I-7585 Nb,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,173.72294948066587
2022-08-11,18:29:00,18,2022,8,11,Thursday,33.78622,-84.405439,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,14Th St Nw,14Th St Nw and Flynn St Nw,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,86,93.50459764195152
2022-08-11,17:00:00,17,2022,8,11,Thursday,33.806531,-84.379169,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 S,Ga-13 S and Armour Dr,Rear End,On Roadway - Non-Intersection,Daylight,Clear,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,322,81.511365124136
