Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"073-8053",7U : Urban Local,33.538587,-82.098769,2025,300,Estimated,38,0,0,0,0.1695,0.53,380,Short Term
"073-8055",7U : Urban Local,33.552167,-82.138981,2025,610,Estimated,25,3,0.698,0,0.1117,0.66,770,Short Term
"073-8059",7U : Urban Local,33.499541,-82.151018,2025,310,Estimated,19,1,0.316,0,0.1138,0.5,390,Short Term
"073-8061",7U : Urban Local,33.521916,-82.073535,2025,330,Estimated,23,2,1.598,0,0.1572,0.5,420,Short Term
"073-8065",7U : Urban Local,33.460949,-82.160719,2025,40,Estimated,3,0,5.714,0,0.2571,0.56,50,Short Term
"073-8067",7U : Urban Local,33.580934,-82.138542,2025,330,Estimated,,,,,0.1176,0.63,420,Short Term
"073-8071",7U : Urban Local,33.452025,-82.194865,2025,6990,Estimated,143,10,0.145,0,0.0997,0.6,12000,Short Term
"073-8073",7U : Urban Local,33.456627,-82.200094,2025,1970,Estimated,85,7,0.187,0,0.147,0.84,2560,Short Term
"073-8077",7U : Urban Local,33.447588,-82.184005,2025,40,Estimated,9,0,5.263,0,0.1842,0.86,50,Short Term
"073-8078",6R : Rural Minor Collector,33.460384,-82.378315,2025,1380,Actual,129,31,1.23,0.072,0.1136,0.52,2070,Short Term
"073-8079",6R : Rural Minor Collector,33.452625,-82.369836,2025,780,Estimated,111,6,0.955,0,0.0996,0.52,1140,Short Term
"073-8080",7R : Rural Local,33.563100,-82.343600,2025,1360,Estimated,131,30,0.741,0.148,0.1016,0.53,2080,Short Term
"073-8081",7R : Rural Local,33.571600,-82.366486,2025,1180,Actual,82,29,0.85,0.17,0.0901,0.63,1490,Short Term
"073-8082",7U : Urban Local,33.538536,-82.141627,2025,120,Actual,10,1,0.8,0.8,0.1805,0.5,160,Short Term
"073-8083",7U : Urban Local,33.487345,-82.208800,2025,24200,Actual,716,130,0.153,0.021,0.0813,0.61,30600,Short Term
"073-8084",7U : Urban Local,33.484224,-82.252832,2025,5390,Estimated,524,49,0.992,0.139,0.1061,0.53,11900,Short Term
"073-8085",7U : Urban Local,33.554100,-82.155800,2025,450,Estimated,34,3,0.434,0.217,0.1134,0.56,570,Short Term
"073-8086",7U : Urban Local,33.534724,-82.104537,2025,8360,Actual,393,45,0.466,0.024,0.1116,0.52,10500,Short Term
"073-8087",7U : Urban Local,33.531090,-82.060983,2025,810,Actual,27,4,0,0,0.1196,0.57,1020,Short Term
"073-8088",7U : Urban Local,33.538500,-82.057100,2025,730,Estimated,35,6,0.278,0,0.1069,0.69,920,Short Term
"073-8089",7U : Urban Local,33.531200,-82.091700,2025,2260,Estimated,59,12,0.18,0,0.1033,0.53,2850,Short Term
"073-8090",7U : Urban Local,33.430074,-82.196590,2025,3820,Actual,51,5,0.108,0,0.1467,0.83,8860,Short Term
"073-8091",7U : Urban Local,33.509797,-82.112331,2025,1090,Actual,30,2,0.458,0,0.1082,0.61,1370,Short Term
"073-8092",7U : Urban Local,33.490600,-82.221400,2025,15500,Estimated,622,64,0.222,0.02,0.0976,0.59,33200,Short Term
"073-8093",7U : Urban Local,33.483800,-82.213700,2025,13200,Estimated,414,46,0.192,0.023,0.1005,0.55,32800,Short Term
"073-8094",7U : Urban Local,33.480720,-82.211308,2025,990,Actual,42,2,0.304,0,0.0982,0.63,1250,Short Term
"073-R201",1U : Urban Principal Arterial - Interstate,33.496574,-82.318076,2025,1420,Estimated,,,,,0.0804,1,2200,Short Term
"073-R202",1U : Urban Principal Arterial - Interstate,33.496069,-82.313861,2025,5510,Estimated,,,,,0.1217,1,8580,Short Term
"073-R203",1U : Urban Principal Arterial - Interstate,33.483131,-82.201058,2025,2910,Actual,,,,,0.0834,1,4440,Short Term
"073-R204",1U : Urban Principal Arterial - Interstate,33.483062,-82.196699,2025,13500,Estimated,,,,,0.1066,1,19800,Short Term
"073-R205",1U : Urban Principal Arterial - Interstate,33.481347,-82.135091,2025,4640,Estimated,,,,,0.0863,1,5850,Short Term
"073-R206",1U : Urban Principal Arterial - Interstate,33.482274,-82.129591,2025,9290,Estimated,,,,,0.0923,1,11700,Short Term
"073-R207",1U : Urban Principal Arterial - Interstate,33.486548,-82.112095,2025,4260,Actual,,,,,0.1045,1,5370,Short Term
"073-R801",1U : Urban Principal Arterial - Interstate,33.497199,-82.313201,2025,4990,Estimated,,,,,0.1375,1,7430,Short Term
"073-R802",1U : Urban Principal Arterial - Interstate,33.497619,-82.316088,2025,1780,Estimated,,,,,0.086,1,3040,Short Term
"073-R803",1U : Urban Principal Arterial - Interstate,33.484288,-82.197375,2025,13200,Estimated,,,,,0.1308,1,16600,Short Term
"073-R804",1U : Urban Principal Arterial - Interstate,33.484501,-82.200703,2025,2270,Estimated,,,,,0.0872,1,2930,Short Term
"073-R805",1U : Urban Principal Arterial - Interstate,33.483621,-82.130105,2025,9370,Estimated,,,,,0.1148,1,11800,Short Term
"073-R806",1U : Urban Principal Arterial - Interstate,33.482245,-82.134584,2025,4510,Estimated,,,,,0.1468,1,5680,Short Term
"073-R808",1U : Urban Principal Arterial - Interstate,33.488050,-82.110379,2025,3250,Estimated,,,,,0.1194,1,4100,Short Term
"075-0101",4R : Rural Minor Arterial,31.030570,-83.386146,2025,2160,Estimated,142,59,0.281,0.187,0.1119,0.51,2720,Short Term
"075-0103",4R : Rural Minor Arterial,31.042947,-83.391607,2025,2470,Estimated,143,50,0.478,0.13,0.1052,0.54,3110,Short Term
"075-0105",4R : Rural Minor Arterial,31.047328,-83.393105,2025,3420,Estimated,289,100,0.797,0.236,0.1025,0.51,5120,Short Term
"075-0107",4R : Rural Minor Arterial,31.090574,-83.407394,2025,2530,Estimated,262,106,0.798,0.16,0.1053,0.53,3190,Short Term
"075-0109",3U : Urban Principal Arterial - Other,31.118312,-83.415136,2025,5420,Estimated,329,135,0.466,0.112,0.1053,0.55,7090,Short Term
"075-0112",3U : Urban Principal Arterial - Other,31.126362,-83.419613,2025,7420,Estimated,405,150,0.218,0.136,0.0945,0.53,9350,Short Term
"075-0114",3U : Urban Principal Arterial - Other,31.142836,-83.425457,2025,6010,Estimated,362,113,0.824,0.084,0.1046,0.52,7570,Short Term
"075-0116",3U : Urban Principal Arterial - Other,31.149633,-83.427726,2025,5550,Estimated,434,100,1.22,0.127,0.1056,0.62,6990,Short Term
"075-0118",3U : Urban Principal Arterial - Other,31.159304,-83.436511,2025,6650,Estimated,383,145,1.232,0.137,0.1019,0.64,8380,Short Term
"075-0121",4U : Urban Minor Arterial,31.180447,-83.442156,2025,2390,Estimated,243,145,0.678,0.508,0.0953,0.53,3010,Short Term
"075-0123",4R : Rural Minor Arterial,31.220836,-83.456239,2025,2160,Estimated,195,112,0.937,0.141,0.0951,0.57,2720,Short Term
"075-0127",4R : Rural Minor Arterial,31.264530,-83.463346,2025,2330,Estimated,251,145,1.147,0.794,0.116,0.51,2940,Short Term
