"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-10-31","Custer Ave Se and Moreland Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Moreland Ave Se","Dry","19:41:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Child Restraint System (Properly Used)""]","Clear",0,33.716119,-84.349506,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Other Traffic Control","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Piedmont Rd Ne and Lindbergh Dr Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Rear End","Lindbergh Dr Ne","Dry","10:45:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.82144,-84.367455,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","6Th St Ne and Charles Allen Dr Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Charles Allen Dr Ne","Wet","09:21:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.775949,-84.372769,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-10-31","I-85S and Armour Dr","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-85S","Wet","07:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Rain",0,33.80267,-84.386289,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","None and Bellview Ave Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Opposite Direction","Bellview Ave Nw","Dry","16:30:00","[""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.776006,-84.47147,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","I-285 and Langford Pkwy","(C) Possible Injury / Complaint","Dark-Not Lighted","On Roadway - Non-Intersection","Rear End","I-285","Water (standing or moving)","02:40:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Rain",0,33.689935,-84.499929,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Under the Influence (U.I.)","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Parsons St Sw and Euharlee St Sw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Parsons St Sw","Dry","15:00:00","[""None Used"",""None Used""]","Clear",0,33.750859,-84.415027,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Wyngate Dr Nw and W Wesley Rd Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","W Wesley Rd Nw","Dry","16:46:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.828698,-84.399889,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-10-31","Langhorn Street and I-20  Wb Exit Ramp To Langhorn","(C) Possible Injury / Complaint","Daylight","Entrance/Exit Ramp","Rear End","I-20  Wb Exit Ramp To Langhorn","Dry","12:29:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.746945,-84.429885,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-10-31","I-85 S and Cheshire Bridge Rd","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-85 S","Dry","10:50:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.813624,-84.366645,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-10-31","Pharr Rd Nw and Peachtree Rd Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Peachtree Rd Ne","Dry","12:00:00","[""Unknown"",""Unknown""]","Cloudy",0,33.837071,-84.381419,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
