"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","2022-02-09","Fair Dr Sw and Metropolitan Pkwy Sw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Sideswipe-Same Direction","Metropolitan Pkwy Sw","Dry","08:51:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Lap Belt Only Used""]","Cloudy",0,33.703384,-84.408073,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Improper Passing"",""Misjudged Clearance""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","Maple Dr Ne and Peachtree Rd Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Peachtree Rd Ne","Dry","15:15:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.843068,-84.372443,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","None and I-75","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75","Dry","21:25:00","[""None Used"",""None Used"",""None Used""]","Clear",0,33.75051,-84.381682,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","Delowe Dr Sw and Campbellton Rd Sw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Angle Crash","Campbellton Rd Sw","Dry","16:22:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.706415,-84.457443,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Other Traffic Control","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","Beck St Nw and Howell Mill Rd Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Howell Mill Rd Nw","Dry","13:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.806988,-84.41279,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","None and I-75","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","I-75","Dry","13:25:00","[""Unknown"",""Unknown""]","Clear",0,33.698939,-84.403597,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","2022-02-09","Piedmont Rd Ne and Piedmont Cir Ne","(B) Suspected Minor/Visible Injury","Dark-Lighted","On Roadway - Non-Intersection","Angle Crash","Piedmont Cir Ne","Dry","21:00:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.808365,-84.366231,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","Fulton Industrial Blvd Nw and Donald Lee Hollowell Pkwy Nw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Angle Crash","Donald Lee Hollowell Pkwy Nw","Dry","16:27:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.789911,-84.496172,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","I-75 and 10Th St Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","I-75","Dry","17:28:00","[""Unknown"",""Unknown""]","Clear",0,33.782112,-84.391215,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","Peachtree Rd Ne and W Shadowlawn Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Angle Crash","Peachtree Rd Ne","Dry","12:40:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.84229,-84.373591,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","None and Monroe Dr Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Monroe Dr Ne","Dry","16:29:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.810915,-84.368564,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-09","W Whitehall St Sw and Ralph David Abernathy Blvd Sw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","W Whitehall St Sw","Dry","14:15:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.738206,-84.412857,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","Motor Vehicle in Motion"
0,0,"Atlanta Police Department","2022-02-09","Queen Rd and Marietta Blvd Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Marietta Blvd Nw","Dry","09:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.819921,-84.452446,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Moreland Ave Ne and Mansfield Ave Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Moreland Ave Ne","Dry","09:00:00","[""Shoulder Belt Only Used"",""Shoulder Belt Only Used""]","Clear",0,33.767658,-84.349037,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","None and I-285","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-285","Dry","20:10:00","[""Bicycle Helmet"",""Lap and Shoulder Belt Used""]","Clear",0,33.78614,-84.493526,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Driver Lost Control","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","14Th St and I-7585 Nb","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Rear End","I-7585 Nb","Dry","19:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.787066,-84.390821,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Following Too Close""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Defoor Pl Nw and Chattahoochee Ave Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Chattahoochee Ave Nw","Dry","09:15:00","[""Unknown"",""Unknown""]","Clear",0,33.801217,-84.42243,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Passing","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","10Th St Nw and Techwood Dr Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Techwood Dr Nw","Dry","15:30:00","[""Unknown"",""Unknown""]","Clear",0,33.781543,-84.391609,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"Motor Vehicle in Motion"
0,0,"Gsp Post 00","2022-02-10","Fulton St and I-7585 North","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-7585 North","Dry","16:28:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.731205,-84.392076,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,1,"Gsp Post 00","2022-02-10","I-7585 Sb and Ralph Mcgill Blvd","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 Sb","Dry","07:56:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.765806,-84.386489,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","Freedom Pkwy and I-7585 North","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","I-7585 North","Dry","07:28:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Unknown"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.761975,-84.381109,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","16Th St Nw and Northside Dr Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Sideswipe-Same Direction","Northside Dr Nw","Dry","18:00:00","[""Unknown"",""Unknown""]","Clear",0,33.787748,-84.407544,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Disregard Other Traffic Control"",""Improper Turn"",""Disregard Police - Traffic Control"",""Misjudged Clearance""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Joseph E Lowery Blvd Nw and Donald Lee Hollowell Pkwy Nw","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","Donald Lee Hollowell Pkwy Nw","Dry","19:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.773057,-84.417855,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Memorial Dr  S W and Peachtree St  S W","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Head On","Peachtree St  S W","Dry","18:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.746977,-84.396922,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","I-7585 N and 14Th Street","(O) No Injury","Dark-Not Lighted","On Roadway - Non-Intersection","Rear End","I-7585 N","Dry","18:31:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.786869,-84.390822,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Santa Barbara Dr Nw and Hamilton E Holmes Dr Nw","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","Hamilton E Holmes Dr Nw","Dry","01:03:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.765525,-84.470028,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","None and I-85","(O) No Injury","Dark-Lighted","On Roadway - Managed Lane (HOV, HOT, Reversible)","Rear End","I-85","Dry","23:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.802813,-84.386071,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","None and Ga-13","(O) No Injury","Dark-Lighted","On Roadway - Managed Lane (HOV, HOT, Reversible)","Rear End","Ga-13","Dry","21:50:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.806468,-84.379323,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","Ga-400 S and Sydney Marcus","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Ga-400 S","Dry","16:40:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.826735,-84.360271,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","None and I-75","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75","Dry","03:35:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Booster Seat (Properly Used)"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.830016,-84.425528,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Failure to Yield""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Thurmond St Nw and Northside Dr Nw","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Northside Dr Nw","Dry","07:45:00","[""Shoulder Belt Only Used"",""Shoulder Belt Only Used""]","Clear",0,33.76074,-84.402752,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Hemphill Ave Nw and Northside Dr Nw","(O) No Injury","Dark-Lighted","On Roadway - Roadway Intersection","Sideswipe-Opposite Direction","Northside Dr Nw","Dry","20:45:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.787157,-84.407457,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Improper Turn","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","I-7585 North and Ralph David Abernathy","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-7585 North","Dry","16:55:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.731309,-84.39205,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Lenox Rd Ne and Piedmont Rd Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Piedmont Rd Ne","Dry","14:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.848754,-84.374851,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Misjudged Clearance"",""Misjudged Clearance""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","On-Ramp To I-20 Wb and Bill Kennedy Way Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Angle Crash","Bill Kennedy Way Se","Dry","11:15:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.744053,-84.358229,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Grandview Ave Ne and E Paces Ferry Rd Ne","(O) No Injury","Daylight","On Roadway - Driveway Intersection","Sideswipe-Same Direction","E Paces Ferry Rd Ne","Dry","13:15:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.83907,-84.376446,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Stallings Ave Se and Flat Shoals Rd Se","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Driveway Intersection","Rear End","Stallings Ave Se","Dry","20:44:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.730936,-84.331848,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","10Th St Ne and Charles Allen Dr Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","10Th St Ne","Dry","12:50:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.781773,-84.372103,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Parked Motor Vehicle""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Parked Motor Vehicle""]"
0,0,"Atlanta Police Department","2022-02-10","I-75 and I-75 S","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75","Dry","20:56:00","[""Unknown"",""Unknown""]","Clear",0,33.788667,-84.391366,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Wieuca Rd Ne and Peachtree Rd Ne","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Peachtree Rd Ne","Dry","08:25:00","[""None Used"",""None Used""]","Clear",0,33.853647,-84.359564,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Lindbergh Dr Ne and Cheshire Bridge Rd Ne","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Cheshire Bridge Rd Ne","Dry","21:30:00","[""Unknown"",""Unknown""]","Clear",0,33.818555,-84.3516,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","Motor Vehicle in Motion"
0,0,"Atlanta Police Department","2022-02-10","None and Boulevard Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Boulevard Ne","Dry","12:50:00","[""Shoulder Belt Only Used"",""Shoulder Belt Only Used""]","Clear",0,33.773438,-84.371024,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","Howell Mill Rd and I-75 Southbound","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-75 Southbound","Dry","17:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.807816,-84.417269,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","United Ave Se and Moreland Ave Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Rear End","Moreland Ave Se","Dry","07:03:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.723994,-84.349454,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Oakdale Rd Ne and Fairview Rd Ne","(O) No Injury","Dark-Not Lighted","On Roadway - Driveway Intersection","Head On","Fairview Rd Ne","Dry","19:00:00","[""None Used"",""None Used""]","Clear",0,33.772841,-84.341682,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Fulton St Sw and Hank Aaron Dr Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","Fulton St Sw","Dry","07:45:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.741894,-84.388091,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Roswell Rd Ne and Habersham Rd Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Roswell Rd Ne","Dry","17:30:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.853296,-84.382693,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Lenox Rd Ne and Peachtree Rd Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Rear End","Peachtree Rd Ne","Dry","07:21:00","[""Unknown"",""Unknown""]","Clear",0,33.849431,-84.36324,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","Hill St and I-20 Wb","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-20 Wb","Dry","08:38:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.743503,-84.379484,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","N Eugenia Pl Nw and Donald Lee Hollowell Pkwy Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Donald Lee Hollowell Pkwy Nw","Dry","14:22:00","[""Unknown"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.776698,-84.453098,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"Motor Vehicle in Motion"
0,0,"Atlanta Police Department","2022-02-10","I-285 and N Camp Creek Pkwy Sw","(C) Possible Injury / Complaint","Dark-Not Lighted","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-285","Dry","22:00:00","[""Unknown"",""Unknown"",""Unknown""]","Clear",0,33.673589,-84.498789,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Aggressive Driving""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Gsp Post 00","2022-02-10","I-75/85 Nb and I-20 Eb Ramp To I-7585 Nb","(O) No Injury","Daylight","On Roadway - Non-Intersection","Sideswipe-Same Direction","I-20 Eb Ramp To I-7585 Nb","Dry","18:15:00","[""Unknown"",""Lap and Shoulder Belt Used""]","Clear",0,33.744797,-84.38896,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Colmer Ave Se and Moreland Ave Se","(O) No Injury","Dark-Lighted","On Roadway - Non-Intersection","Rear End","Moreland Ave Se","Dry","19:00:00","[""Unknown"",""Unknown""]","Clear",0,33.750778,-84.34923,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","Edgewood Ave Se and Peachtree Center Ave Ne","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Edgewood Ave Se","Dry","13:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.754486,-84.386386,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","2022-02-10","10Th St Nw and Techwood Dr Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Rear End","Techwood Dr Nw","Dry","11:20:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.781546,-84.391625,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","2022-02-10","Mayson Turner Rd Nw and Joseph E Boone Blvd Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Angle","Joseph E Boone Blvd Nw","Dry","10:20:00","[""Unknown"",""Unknown""]","Clear",0,33.763515,-84.423971,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
