Date,Time,Hour,Year,Month,Day,DayOfWeek,Crash Latitude,Crash Longitude,KABCO Severity,# of Fatalities per Crash,# Serious Injuries,# Visible Injuries,Geolocated City,Geolocated County,Roadway (From Crash Report),Intersection Name (from Crash Report),Manner of Collision (Crash Level),Location at Impact (Crash Level),Light Conditions (Crash Level),Weather Conditions (Crash Level),Surface Condition (Crash Level),Agency Name (Crash Level),Safety Equipment (Crash Level),First Harmful Event (Unit Order),Most Harmful Event (Crash Level),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",join_id,TMAS Station ID,TMAS Latitude,TMAS Longitude,TMAS Functional Class,Crash_to_TMAS_m,TMAS_TADA_match_method,TADA Station ID,tada_join_id,TADA Latitude,TADA Longitude,TADA Functional Class,TADA Year,TADA Station Type,TADA Statistics Type,AADT,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,TMAS_to_TADA_m
2022-12-06,20:45:00,20,2022,12,6,Tuesday,33.757497,-84.376575,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Hilliard St Ne,Irwin St Ne and Hilliard St Ne,Sideswipe-Same Direction,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,Unknown,"[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]","[""Parked Motor Vehicle"",""Motor Vehicle in Motion""]",,9,000009,33.75873,-84.37843,1U,219.70568569160486,spatial_same_fc,121-R028,121R028,33.758684,-84.378337,1U : Urban Principal Arterial - Interstate,2025,Short Term,Actual,7370,,,,,0.0921,1.0,9290,10.016676357694505
2022-12-06,10:29:00,10,2022,12,6,Tuesday,33.686156,-84.402247,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 Southbound,I-85 Southbound and Metropolitan Parkway On Ramp,Not a Collision with Motor Vehicle,On Shoulder,Daylight,Cloudy,Wet,Gsp Post 00,Unknown,Median Barrier,Median Barrier,Driver Lost Control,R357,00R357,33.6864,-84.401,1U,118.78812524709726,spatial_same_fc,121-5527,1215527,33.6863,-84.4011,1U : Urban Principal Arterial - Interstate,2025,Short Term,Estimated,126000,,,,,,,176000,14.461418011478735
2022-12-06,15:41:00,15,2022,12,6,Tuesday,33.758481,-84.37851,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 Nb,I-7585 Nb and Andrew Young International Bou,Rear End,"On Roadway - Managed Lane (HOV, HOT, Reversible)",Daylight,Cloudy,Dry,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,9,000009,33.75873,-84.37843,1U,28.605127922311876,spatial_same_fc,121-R028,121R028,33.758684,-84.378337,1U : Urban Principal Arterial - Interstate,2025,Short Term,Actual,7370,,,,,0.0921,1.0,9290,10.016676357694505
2022-12-06,14:30:00,14,2022,12,6,Tuesday,33.756837,-84.378313,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-7585 N,I-7585 N and Edgewood Ave.,Angle Crash,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,9,000009,33.75873,-84.37843,1U,210.31615725052328,spatial_same_fc,121-R028,121R028,33.758684,-84.378337,1U : Urban Principal Arterial - Interstate,2025,Short Term,Actual,7370,,,,,0.0921,1.0,9290,10.016676357694505
2022-12-06,09:09:00,9,2022,12,6,Tuesday,33.797055,-84.392859,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 North,Ga-13 North and Peachtree St Nw,Not a Collision with Motor Vehicle,On Shoulder,Daylight,Rain,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,Too Fast for Conditions,R365,00R365,33.7976,-84.3941,1U,129.89174893746474,spatial_same_fc,121-9420,1219420,33.79762,-84.3941,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,23200,,,,,0.0767,1.0,29200,2.2190791812333917
2022-12-06,06:11:00,6,2022,12,6,Tuesday,33.687062,-84.401466,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-85 Southbound,I-85 Southbound and Metropolitan Parkway On Ramp,Angle Crash,On Shoulder,Dark-Not Lighted,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""None Used""]","[""Median Barrier"",""Parked Motor Vehicle""]","[""Motor Vehicle in Motion"",""Parked Motor Vehicle""]",Driver Lost Control,R357,00R357,33.6864,-84.401,1U,85.2237044087347,spatial_same_fc,121-5527,1215527,33.6863,-84.4011,1U : Urban Principal Arterial - Interstate,2025,Short Term,Estimated,126000,,,,,,,176000,14.461418011478735
2022-12-06,05:50:00,5,2022,12,6,Tuesday,33.687188,-84.401399,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-85 South,I-85 South and Metropolitan Pkwy,Not a Collision with Motor Vehicle,Median,Daylight,Rain,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,"[""Too Fast for Conditions"",""Driver Lost Control"",""Changed Lanes Improperly""]",R357,00R357,33.6864,-84.401,1U,94.93991244877783,spatial_same_fc,121-5527,1215527,33.6863,-84.4011,1U : Urban Principal Arterial - Interstate,2025,Short Term,Estimated,126000,,,,,,,176000,14.461418011478735
2022-12-06,02:50:00,2,2022,12,6,Tuesday,33.675144,-84.397983,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-75,None and I-75,Rear End,On Roadway - Non-Intersection,Dark-Lighted,Rain,Wet,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Changed Lanes Improperly"",""Following Too Close""]",309,000309,33.67633,-84.39741,1U,141.91872359076797,spatial_same_fc,121-5463,1215463,33.67629,-84.39758,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,177000,3915.0,6014.0,0.146,0.202,0.0686,0.53,223000,16.382345900484374
2022-12-06,14:40:00,14,2022,12,6,Tuesday,33.794129,-84.393069,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85 S,I-85 S and Peachtree St,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R378,00R378,33.79504,-84.392,1U,141.50448466310493,spatial_same_fc,121-9912,1219912,33.79504,-84.392,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,30900,,,,,0.1251,1.0,38900,0.0
2022-12-07,08:56:00,8,2022,12,7,Wednesday,33.796549,-84.393673,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Rear End,Entrance/Exit Ramp,Daylight,Fog,Water (standing or moving),Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,R356,00R356,33.79647,-84.39434,1U,62.40546798045499,spatial_same_fc,121-9178,1219178,33.79647,-84.39434,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,39400,,,,,0.0933,1.0,56500,0.0
2022-12-07,19:15:00,19,2022,12,7,Wednesday,33.807055,-84.378267,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,Ga-13,None and Ga-13,Rear End,On Roadway - Non-Intersection,Dark-Not Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Shoulder Belt Only Used"",""Shoulder Belt Only Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,000322,33.80709,-84.37974,1U,136.48935020398122,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-12-07,08:05:00,8,2022,12,7,Wednesday,33.806646,-84.38059,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Dry,Atlanta Police Department,"[""Unknown"",""Unknown""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Following Too Close,322,000322,33.80709,-84.37974,1U,92.87272598177809,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-12-07,17:35:00,17,2022,12,7,Wednesday,33.806424,-84.379428,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13,Ga-13 and I-85 N,Angle Crash,On Roadway - Non-Intersection,Dark-Lighted,Clear,Dry,Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,322,000322,33.80709,-84.37974,1U,79.34576027319831,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-12-08,07:34:00,7,2022,12,8,Thursday,33.760493,-84.379496,(B) Suspected Minor/Visible Injury,0.0,0.0,1.0,Atlanta,FULTON,I-7585 North,Freedom Pkwy and I-7585 North,Rear End,On Roadway - Non-Intersection,Daylight,Cloudy,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Following Too Close"",""Too Fast for Conditions""]",9,000009,33.75873,-84.37843,1U,219.14347582224318,spatial_same_fc,121-R028,121R028,33.758684,-84.378337,1U : Urban Principal Arterial - Interstate,2025,Short Term,Actual,7370,,,,,0.0921,1.0,9290,10.016676357694505
2022-12-09,07:00:00,7,2022,12,9,Friday,33.797016,-84.392859,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,Ga-13 Nb,Ga-13 Nb and Peachtree St,Not a Collision with Motor Vehicle,Median,Dawn,Cloudy,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,"[""Driver Lost Control"",""Too Fast for Conditions""]",R365,00R365,33.7976,-84.3941,1U,131.96184579749226,spatial_same_fc,121-9420,1219420,33.79762,-84.3941,1U : Urban Principal Arterial - Interstate,2025,CCS,Estimated,23200,,,,,0.0767,1.0,29200,2.2190791812333917
2022-12-09,16:34:00,16,2022,12,9,Friday,33.759252,-84.478292,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-20 West,I-20 West and H E Holmes Dr,Rear End,On Roadway - Non-Intersection,Daylight,Rain,Wet,Gsp Post 00,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Changed Lanes Improperly,313,000313,33.75941,-84.47873,1U,44.21300850003169,spatial_same_fc,121-5498,1215498,33.758883,-84.477026,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,162000,5116.0,6037.0,0.317,0.253,0.0732,0.58,208000,168.38695843106797
2022-12-09,22:15:00,22,2022,12,9,Friday,33.80583,-84.381601,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85,None and I-85,Sideswipe-Same Direction,"On Roadway - Managed Lane (HOV, HOT, Reversible)",Dark-Not Lighted,Cloudy,Dry,Atlanta Police Department,"[""Unknown"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Motor Vehicle in Motion,,322,000322,33.80709,-84.37974,1U,221.9400508561729,spatial_same_fc,121-5969,1215969,33.80723,-84.3798,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,235000,7102.0,4620.0,0.28,0.137,0.0691,0.52,296000,16.497889805724764
2022-12-09,19:56:00,19,2022,12,9,Friday,33.764516,-84.492774,(C) Possible Injury / Complaint,0.0,0.0,0.0,Atlanta,FULTON,I-20,None and I-20,Rear End,On Roadway - Non-Intersection,Dark-Not Lighted,Rain,Water (standing or moving),Atlanta Police Department,"[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Too Fast for Conditions"",""Following Too Close""]",R376,00R376,33.76358,-84.4916,1U,150.39581926970163,spatial_same_fc,121-9438,1219438,33.76358,-84.4916,1U : Urban Principal Arterial - Interstate,2025,CCS,Actual,20500,,,,,0.0856,1.0,25800,0.0
2022-12-09,16:30:00,16,2022,12,9,Friday,33.687841,-84.401137,(O) No Injury,0.0,0.0,0.0,Atlanta,FULTON,I-85S,I-85S and Mm 77.2,Not a Collision with Motor Vehicle,On Shoulder,Daylight,Rain,Wet,Gsp Post 00,Lap and Shoulder Belt Used,Median Barrier,Median Barrier,"[""Too Fast for Conditions"",""Driver Lost Control""]",R357,00R357,33.6864,-84.401,1U,160.38563366037565,spatial_same_fc,121-5527,1215527,33.6863,-84.4011,1U : Urban Principal Arterial - Interstate,2025,Short Term,Estimated,126000,,,,,,,176000,14.461418011478735
